"X1","FEC_ID","STATE","STATE_ABBREVIATION","GENERAL_ELECTION_DATE","FIRST_NAME","LAST_NAME","LAST_NAME_FIRST","TOTAL_VOTES","PARTY","GENERAL_RESULTS","TOTAL_VOTES_","GENERAL_","X","X_1","X_2","X_3"
"81","P80004930","District of Columbia","DC","11/4/2008","Cynthia","McKinney","McKinney, Cynthia","","DCG","590","","0.22%","",,,
"82","n/a","District of Columbia","DC","11/4/2008","","","","Total State Votes; ","","265853","265,853","","",,,
"83","P80003338","Florida","FL","11/4/2008","Barack","Obama","Obama, Barack","","D","4282074","","51.03%","",,,
"84","P80002801","Florida","FL","11/4/2008","John","McCain","McCain, John","","R","4045624","","48.22%","",,,
"85","P20000527","Florida","FL","11/4/2008","Ralph","Nader","Nader, Ralph","","ECO","28124","","0.34%","",,,
"86","P80005580","Florida","FL","11/4/2008","Bob","Barr","Barr, Bob","","LBF","17218","","0.21%","",,,
"87","P80005499","Florida","FL","11/4/2008","Chuck","Baldwin","Baldwin, Chuck","","CPF","7915","","0.09%","",,,
"88","P80004930","Florida","FL","11/4/2008","Cynthia","McKinney","McKinney, Cynthia","","GPF","2887","","0.03%","",,,
"89","P60003076","Florida","FL","11/4/2008","Alan","Keyes","Keyes, Alan","","AIF","2550","","0.03%","",,,
"90","P80005572","Florida","FL","11/4/2008","Gloria","La Riva","La Riva, Gloria","","FSL","1516","","0.02%","",,,
"91","n/a","Florida","FL","11/4/2008","Charles","Jay","Jay, Charles","","BTP","795","","0.01%","",,,
"92","P60004454","Florida","FL","11/4/2008","James","Harris","Harris, James","","FSW","533","","0.01%","",,,
"93","P80005655","Florida","FL","11/4/2008","Thomas Robert","Stevens","Stevens, Thomas Robert","","OBF","419","","0.00%","",,,
"94","P80005275","Florida","FL","11/4/2008","Brian","Moore","Moore, Brian","","SFL","405","","0.00%","",,,
"95","n/a","Florida","FL","11/4/2008","Gary","Nettles","Nettles, Gary","","W","391","","0.00%","",,,
"96","n/a","Florida","FL","11/4/2008","Gene","Amondson","Amondson, Gene","","P","293","","0.00%","",,,
"97","n/a","Florida","FL","11/4/2008","","","","Total State Votes; ","","8390744","8,390,744","","",,,
"98","P80002801","Georgia","GA","11/4/2008","John","McCain","McCain, John","","R","2048759","","52.20%","",,,
"99","P80003338","Georgia","GA","11/4/2008","Barack","Obama","Obama, Barack","","D","1844123","","46.99%","",,,
"100","P80005580","Georgia","GA","11/4/2008","Bob","Barr","Barr, Bob","","LBT","28731","","0.73%","",,,
"101","P80005499","Georgia","GA","11/4/2008","Chuck","Baldwin","Baldwin, Chuck","","W","1402","","0.04%","",,,
"102","P20000527","Georgia","GA","11/4/2008","Ralph","Nader","Nader, Ralph","","W","1158","","0.03%","",,,
"103","P80004930","Georgia","GA","11/4/2008","Cynthia","McKinney","McKinney, Cynthia","","W","250","","0.01%","",,,
"104","n/a","Georgia","GA","11/4/2008","Michael A.","Peroutka","Peroutka, Michael A.","","W","23","","0.00%","",,,
"105","P60004454","Georgia","GA","11/4/2008","James","Harris","Harris, James","","W","20","","0.00%","",,,
"106","P80005119","Georgia","GA","11/4/2008","Jonathan","Allen","Allen, Jonathan","","W","8","","0.00%","",,,
"107","n/a","Georgia","GA","11/4/2008","Frank","Moore","Moore, Frank","","W","6","","0.00%","",,,
"108","n/a","Georgia","GA","11/4/2008","David C.","Byrne","Byrne, David C.","","W","4","","0.00%","",,,
"109","n/a","Georgia","GA","11/4/2008","Brian Russell","Brown","Brown, Brian Russell","","W","2","","0.00%","",,,
"110","n/a","Georgia","GA","11/4/2008","","","","Total State Votes; ","","3924486","3,924,486","","",,,
"111","P80003338","Hawaii","HI","11/4/2008","Barack","Obama","Obama, Barack","","D","325871","","71.85%","",,,
"112","P80002801","Hawaii","HI","11/4/2008","John","McCain","McCain, John","","R","120566","","26.58%","",,,
